0.897928,1.184856,0.958171,1.768258,1.744098,1.616659,1.474643,1.159217,0.814720,0.524025,0.249759,0.042398,
3.039024,2.070313,2.542129,1.643210,2.119288,1.127330,1.325491,0.957963,1.234874,0.999990,0.469822,0.123424,
3.434837,2.060286,1.623831,0.940474,2.146630,1.962514,2.733397,0.843549,0.183461,0.830709,0.488408,0.152161,
3.298265,2.231824,2.247097,0.970915,1.194274,1.302629,2.336042,0.673857,1.212506,0.554382,0.601919,0.137110,
2.844378,2.056435,2.267542,1.388004,2.389927,1.901470,1.937911,0.973972,1.059710,0.670592,0.594524,0.131313,
3.024241,2.439084,2.226927,1.655935,1.856739,1.333038,2.181222,0.661302,1.222605,0.772691,0.398960,0.122047,
3.024809,2.373229,2.362212,1.916855,1.211378,0.869634,1.195140,0.949476,1.005513,0.810437,0.844193,0.142660,
3.058738,1.616633,2.091118,1.088614,1.724831,2.594721,2.572161,0.990838,0.672353,0.377044,0.626884,0.145844,
2.576051,2.211667,2.117173,0.811854,2.440174,1.625516,1.175616,1.519290,1.280017,0.750878,0.392431,0.089598,
2.513941,2.273882,2.448998,1.193806,2.650244,1.277630,1.903050,1.267844,1.102824,0.701499,0.522152,0.118742,
2.957395,2.428677,2.022375,0.455650,2.175177,2.161516,2.002516,0.703637,1.074928,0.667010,0.566290,0.146882,
3.046963,2.423397,1.090262,1.364937,1.539094,1.674464,1.534567,0.767867,1.523125,0.518259,0.530826,0.086339,
3.036133,2.429933,1.896292,0.591511,2.242390,2.218865,1.551934,1.519211,0.734222,0.736578,0.593455,0.119777,
2.906349,2.271836,1.077089,1.378042,1.584915,1.708012,0.647638,1.157693,1.387133,0.391035,0.606250,0.077600,
3.212484,1.397810,1.928253,0.837965,2.110849,1.589669,2.545796,1.251936,0.448631,0.757648,0.481899,0.113331,
3.039467,1.974359,1.713379,0.442300,1.964352,0.959152,1.145210,0.615045,1.393498,0.677906,0.428562,0.102888,
3.898140,2.376180,1.508261,0.401800,1.502950,0.761881,1.285544,0.612834,1.124911,1.307296,0.649637,0.161837,
3.744428,1.948070,1.342853,0.859625,0.587614,1.164055,2.505777,0.426763,1.202264,1.240923,0.497604,0.087283,
3.549222,2.114481,2.167409,1.108776,1.711195,1.174094,2.117296,0.916466,1.231688,0.226885,0.496994,0.145885,
3.337319,2.271593,1.593589,0.997974,2.073969,1.182062,1.545360,0.839437,1.115273,1.016954,0.680795,0.143976,
2.868850,2.055755,2.407725,0.727109,1.405566,1.626603,1.630340,0.638875,0.729674,0.663049,0.656953,0.113203,
3.464483,2.172551,1.451242,1.035264,1.687326,0.552745,1.576779,0.785599,0.666849,0.394517,0.680335,0.152952,
3.220236,1.849488,2.365602,0.754952,2.271567,1.366109,0.834935,0.806440,-0.172282,0.277257,0.196043,0.058899,
3.254134,1.852753,1.266195,0.012481,1.489819,1.281759,2.619959,0.180545,0.513267,0.328835,0.143196,0.102896,
2.919313,1.328612,2.531122,0.475152,1.786865,0.890604,1.662310,0.348508,0.519992,0.407061,0.223500,0.110135,
2.897475,1.621512,2.240698,0.049670,2.191598,0.781542,1.759955,1.277959,1.291658,0.677167,0.301931,0.096941,
